Adaptive_Scheme,Experiment_ID,Iteration
Standard,0,5440
Standard,1,4876
Standard,2,5646
Standard,3,4852
Standard,4,4200
Standard,5,5164
Standard,6,5974
Standard,7,5242
Standard,8,5518
Standard,9,5289
Standard,10,4770
Standard,11,5565
Standard,12,5068
Standard,13,4862
Standard,14,5265
Standard,15,4696
Standard,16,4988
Standard,17,5390
Standard,18,5333
Standard,19,5096
Standard,20,5052
Standard,21,4648
Standard,22,5286
Standard,23,5604
Standard,24,5552
Standard,25,4335
Standard,26,5945
Standard,27,4926
Standard,28,5488
Standard,29,4706
Standard,30,5861
Standard,31,5437
Standard,32,5444
Standard,33,6032
Standard,34,6300
Standard,35,5430
Standard,36,4794
Standard,37,5143
Standard,38,5763
Standard,39,5368
Standard,40,4984
Standard,41,5562
Standard,42,5312
Standard,43,4339
Standard,44,5416
Standard,45,4539
Standard,46,5555
Standard,47,5595
Standard,48,5415
Standard,49,4537
Standard,50,4325
Standard,51,5244
Standard,52,4608
Standard,53,4827
Standard,54,5127
Standard,55,4645
Standard,56,4431
Standard,57,4936
Standard,58,5837
Standard,59,4679
Standard,60,5252
Standard,61,4900
Standard,62,5514
Standard,63,5165
Standard,64,4893
Standard,65,5095
Standard,66,4690
Standard,67,4212
Standard,68,5918
Standard,69,5969
Standard,70,4769
Standard,71,4670
Standard,72,5222
Standard,73,5276
Standard,74,5670
Standard,75,5483
Standard,76,4994
Standard,77,5098
Standard,78,4961
Standard,79,5104
Standard,80,5029
Standard,81,5556
Standard,82,5218
Standard,83,4782
Standard,84,4528
Standard,85,5033
Standard,86,5154
Standard,87,5572
Standard,88,5310
Standard,89,4905
Standard,90,5070
Standard,91,5713
Standard,92,6534
Standard,93,5443
Standard,94,4835
Standard,95,4692
Standard,96,4382
Standard,97,4971
Standard,98,4543
Standard,99,5318
OneFifth,0,5565
OneFifth,1,4550
OneFifth,2,4777
OneFifth,3,4290
OneFifth,4,4577
OneFifth,5,5072
OneFifth,6,4957
OneFifth,7,4827
OneFifth,8,4800
OneFifth,9,5361
OneFifth,10,4642
OneFifth,11,4609
OneFifth,12,4809
OneFifth,13,4968
OneFifth,14,5325
OneFifth,15,5727
OneFifth,16,4437
OneFifth,17,5161
OneFifth,18,5203
OneFifth,19,5186
OneFifth,20,5313
OneFifth,21,4371
OneFifth,22,4322
OneFifth,23,5123
OneFifth,24,4510
OneFifth,25,5000
OneFifth,26,5163
OneFifth,27,4791
OneFifth,28,4483
OneFifth,29,5719
OneFifth,30,5260
OneFifth,31,5249
OneFifth,32,5310
OneFifth,33,5084
OneFifth,34,4791
OneFifth,35,6141
OneFifth,36,5215
OneFifth,37,5056
OneFifth,38,5137
OneFifth,39,5233
OneFifth,40,5024
OneFifth,41,6293
OneFifth,42,4646
OneFifth,43,4940
OneFifth,44,5958
OneFifth,45,5456
OneFifth,46,4702
OneFifth,47,5128
OneFifth,48,4947
OneFifth,49,4679
OneFifth,50,5010
OneFifth,51,4951
OneFifth,52,4877
OneFifth,53,4445
OneFifth,54,4842
OneFifth,55,4318
OneFifth,56,4908
OneFifth,57,4919
OneFifth,58,5235
OneFifth,59,4756
OneFifth,60,5409
OneFifth,61,5216
OneFifth,62,6184
OneFifth,63,5247
OneFifth,64,4737
OneFifth,65,5440
OneFifth,66,5038
OneFifth,67,5172
OneFifth,68,6162
OneFifth,69,4809
OneFifth,70,6083
OneFifth,71,5196
OneFifth,72,5062
OneFifth,73,4720
OneFifth,74,5186
OneFifth,75,4347
OneFifth,76,4834
