Adaptive_Scheme,Experiment_ID,Iteration
Standard,0,513
Standard,1,2895
Standard,2,249
Standard,3,4179
Standard,4,572
Standard,5,3909
Standard,6,100000
Standard,7,88720
Standard,8,9756
Standard,9,100000
Standard,10,4602
Standard,11,667
Standard,12,49784
Standard,13,100000
Standard,14,100000
Standard,15,1039
Standard,16,100000
Standard,17,539
Standard,18,50588
Standard,19,100000
Standard,20,462
Standard,21,735
Standard,22,93362
Standard,23,654
Standard,24,71081
Standard,25,1723
Standard,26,100000
Standard,27,794
Standard,28,100000
Standard,29,925
Standard,30,1749
Standard,31,3223
Standard,32,100000
Standard,33,100000
Standard,34,100000
Standard,35,749
Standard,36,100000
Standard,37,311
Standard,38,823
Standard,39,94669
Standard,40,552
Standard,41,100000
Standard,42,79255
Standard,43,100000
Standard,44,1116
Standard,45,457
Standard,46,1497
Standard,47,1930
Standard,48,980
Standard,49,898
Standard,50,4354
Standard,51,45782
Standard,52,1479
Standard,53,83981
Standard,54,1392
Standard,55,92720
Standard,56,75113
Standard,57,100000
Standard,58,61824
Standard,59,1682
Standard,60,501
Standard,61,100000
Standard,62,100000
Standard,63,100000
Standard,64,548
Standard,65,759
Standard,66,100000
Standard,67,1390
Standard,68,923
Standard,69,76630
Standard,70,100000
Standard,71,980
Standard,72,100000
Standard,73,678
Standard,74,20508
Standard,75,1215
Standard,76,1677
Standard,77,1274
Standard,78,100000
Standard,79,943
Standard,80,1262
Standard,81,990
Standard,82,5286
Standard,83,485
Standard,84,5847
Standard,85,100000
Standard,86,5298
Standard,87,1744
Standard,88,1694
Standard,89,100000
Standard,90,805
Standard,91,823
Standard,92,3525
Standard,93,949
Standard,94,225
Standard,95,2800
Standard,96,963
Standard,97,64373
Standard,98,100000
Standard,99,62369
OneFifth,0,929
OneFifth,1,100000
OneFifth,2,2555
OneFifth,3,2503
OneFifth,4,57546
OneFifth,5,1444
OneFifth,6,473
OneFifth,7,621
OneFifth,8,73173
OneFifth,9,7330
OneFifth,10,578
OneFifth,11,100000
OneFifth,12,2001
OneFifth,13,755
OneFifth,14,1103
OneFifth,15,100000
OneFifth,16,574
OneFifth,17,514
OneFifth,18,100000
OneFifth,19,664
OneFifth,20,94982
OneFifth,21,446
OneFifth,22,1241
OneFifth,23,100000
OneFifth,24,100000
OneFifth,25,1837
OneFifth,26,225
OneFifth,27,100000
OneFifth,28,600
OneFifth,29,454
OneFifth,30,18821
OneFifth,31,98893
OneFifth,32,2129
OneFifth,33,390
OneFifth,34,996
OneFifth,35,11327
OneFifth,36,1712
OneFifth,37,1011
OneFifth,38,285
OneFifth,39,94854
OneFifth,40,234
OneFifth,41,100000
OneFifth,42,2185
OneFifth,43,1635
OneFifth,44,75225
OneFifth,45,438
OneFifth,46,725
OneFifth,47,621
OneFifth,48,1079
OneFifth,49,2475
OneFifth,50,100000
OneFifth,51,47190
OneFifth,52,372
OneFifth,53,688
OneFifth,54,100000
OneFifth,55,5121
OneFifth,56,100000
OneFifth,57,97895
OneFifth,58,669
OneFifth,59,1075
OneFifth,60,395
